run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20250531-23:59:27-8776,runattr,,,configname,General,,
General-0-20250531-23:59:27-8776,runattr,,,datetime,20250531-23:59:27,,
General-0-20250531-23:59:27-8776,runattr,,,datetimef,20250531-235927,,
General-0-20250531-23:59:27-8776,runattr,,,experiment,General,,
General-0-20250531-23:59:27-8776,runattr,,,inifile,omnetpp.ini,,
General-0-20250531-23:59:27-8776,runattr,,,iterationvars,,,
General-0-20250531-23:59:27-8776,runattr,,,iterationvarsd,,,
General-0-20250531-23:59:27-8776,runattr,,,iterationvarsf,,,
General-0-20250531-23:59:27-8776,runattr,,,measurement,,,
General-0-20250531-23:59:27-8776,runattr,,,network,Network,,
General-0-20250531-23:59:27-8776,runattr,,,processid,8776,,
General-0-20250531-23:59:27-8776,runattr,,,repetition,0,,
General-0-20250531-23:59:27-8776,runattr,,,replication,#0,,
General-0-20250531-23:59:27-8776,runattr,,,resultdir,results,,
General-0-20250531-23:59:27-8776,runattr,,,runnumber,0,,
General-0-20250531-23:59:27-8776,runattr,,,seedset,0,,
General-0-20250531-23:59:27-8776,config,,,network,Network,,
General-0-20250531-23:59:27-8776,config,,,sim-time-limit,200s,,
General-0-20250531-23:59:27-8776,config,,,Network.node[0].app.interArrivalTime,exponential(1),,
General-0-20250531-23:59:27-8776,config,,,Network.node[0].app.packetByteSize,125000,,
General-0-20250531-23:59:27-8776,config,,,Network.node[0].app.destination,5,,
General-0-20250531-23:59:27-8776,config,,,Network.node[2].app.interArrivalTime,exponential(1),,
General-0-20250531-23:59:27-8776,config,,,Network.node[2].app.packetByteSize,125000,,
General-0-20250531-23:59:27-8776,config,,,Network.node[2].app.destination,5,,
General-0-20250531-23:59:27-8776,vector,Network.node[0].app,SendedPackets,,,"0.898560388484 1.821783519955 3.773328855839 4.324377342509 5.301383768902 5.786511932624 6.139671071762 6.198055740855 9.512968020783 11.081864138406 11.834538251719 12.673971104619 14.482340368894 14.556025724359 14.967603720602 15.058764746726 16.103377255034 19.25354718371 21.294439399622 21.9361485723 23.541388129362 25.155390204255 25.890354625445 27.026293567155 27.152167976593 28.427395678817 28.582125359317 29.352960017784 30.774324697878 31.512151989634 31.624098150267 32.159663870495 32.466944222648 32.673147504678 34.008437689302 34.617520112485 34.762798139777 34.781766708978 35.173537519655 36.134918458721 36.386360390796 36.874917440104 39.752832461382 40.3505785382 40.796097033251 41.370629439992 43.696980501686 44.795892969237 45.854727100725 46.965324546412 47.10335323484 48.492395924631 48.944497984856 49.788925778384 54.24342262456 54.477724143336 55.485743388756 56.54448610385 57.416401957476 57.708482490743 58.243547167826 58.871488748817 59.51526975042 59.795546758899 60.77241083297 61.184912062892 62.252984260042 62.401696529294 63.908331862567 64.368345820307 65.454615201185 67.174946858902 68.294761224656 68.395795999965 71.969384372309 74.074705673101 74.132032599525 75.060511096426 75.660457983067 77.004703255219 77.024893383365 77.064869682423 77.64774807129 81.539318194135 82.074202569892 84.578114352977 85.410957869043 87.41419839155 87.512848699968 90.053153207927 90.139923690267 92.789179618943 92.930510332504 93.972290986683 95.232224796792 95.573878963818 95.88139668758 96.083747126147 96.966876168106 96.987188626902 97.167440878887 98.9331819513 99.776264983448 101.105022857198 101.672927010678 101.958947983186 103.36997239248 104.228365360309 104.732709166897 106.996442742758 107.248862735649 110.301144392533 110.893768419985 112.767228299842 113.969466867089 114.092993514451 114.446013647725 115.902832206289 116.433554702906 116.938573450661 119.068072846729 121.202903296712 122.382286230357 123.270147640794 124.34798252493 125.109850296226 125.371907537901 126.404704548546 126.907015346807 127.458411336941 128.422864902435 129.066969610758 129.425896826628 130.505217025284 130.847816649982 131.810191705753 132.370152775827 134.477600380777 135.371329459083 136.225409194726 139.697944674008 139.850238299262 140.30841118322 140.410731798073 140.983193349501 145.121003110011 145.891079969557 146.485153467881 146.59076611151 149.110048241593 150.94978102667 151.111651113382 153.461828403133 155.487737220236 155.526020133121 155.703345708266 156.659312132188 158.169135587797 160.171122083323 160.70112496146 160.851915971654 161.374786001742 162.570224568024 163.037497134434 163.641796206282 164.186653334427 165.466987538239 165.921899383031 169.631859974935 170.078112795454 172.962724547556 173.151019522775 173.565632065434 174.301763165421 174.35763321831 174.580772426411 174.77860193387 176.357014655976 176.780671757333 179.66521604574 180.602354763463 181.510318790788 181.542675595433 183.0735068217 183.125189727495 183.986113364176 184.257781434518 189.136914322512 189.903993977084 191.901165944574 193.210951315936 193.584837811839 194.392817865238 194.900682987925 195.139435860773 195.374960434192 195.626559047305 195.873418316104 196.716397091518 198.061744524752 198.663423511276","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
General-0-20250531-23:59:27-8776,vector,Network.node[0].lnk[1],Buffer Size,,,"0.898560388484 0.898560388484 1.821783519955 1.898560388484 3.773328855839 3.773328855839 4.324377342509 4.773328855839 4.860204212075 5.301383768902 5.773328855839 5.773328855839 5.786511932624 5.860204212075 6.139671071762 6.198055740855 6.773328855839 7.773328855839 7.773328855839 8.773328855839 8.860204212075 9.773328855839 9.860204212075 9.860204212075 11.860204212075 11.860204212075 12.673971104619 12.673971104619 14.860204212075 14.860204212075 15.082464138406 15.082464138406 15.860204212075 15.860204212075 17.082464138406 17.082464138406 18.082464138406 18.082464138406 19.25354718371 19.25354718371 19.860204212075 20.082464138406 20.25354718371 20.25354718371 22.16237328369 22.16237328369 24.202687541632 24.202687541632 25.082464138406 25.082464138406 26.082464138406 26.082464138406 27.026293567155 27.026293567155 27.082464138406 27.152167976593 28.026293567155 28.026293567155 28.082464138406 28.427395678817 28.582125359317 29.026293567155 29.026293567155 29.082464138406 29.352960017784 30.026293567155 31.026293567155 31.026293567155 31.512151989634 31.624098150267 32.026293567155 33.026293567155 33.027093567155 34.026293567155 34.617520112485 34.617520112485 34.762798139777 34.781766708978 35.082464138406 35.617520112485 36.082464138406 36.617520112485 36.874917440104 37.082464138406 37.617520112485 37.617520112485 37.617520112485 38.082464138406 38.617520112485 38.617520112485 40.027093567155 40.027093567155 41.027093567155 41.027093567155 43.027093567155 43.027093567155 43.082464138406 43.082464138406 44.795892969237 44.795892969237 45.082464138406 45.795892969237 47.027093567155 47.027093567155 47.082464138406 47.082464138406 48.027093567155 48.027093567155 49.788925778384 49.788925778384 50.082464138406 50.788925778384 50.796692969237 50.796692969237 51.082464138406 51.082464138406 51.796692969237 51.796692969237 53.738658526921 53.738658526921 56.082464138406 56.082464138406 57.082464138406 57.082464138406 57.708482490743 57.708482490743 59.082464138406 59.082464138406 60.082464138406 60.082464138406 61.184912062892 61.184912062892 63.806208042298 63.806208042298 64.806208042298 64.806208042298 65.082464138406 65.082464138406 65.806208042298 65.806208042298 66.806208042298 66.806208042298 67.082464138406 67.082464138406 67.174946858902 67.174946858902 67.806208042298 68.082464138406 68.174946858902 68.174946858902 68.294761224656 68.294761224656 68.395795999965 69.082464138406 69.294761224656 69.806208042298 70.082464138406 70.294761224656 70.294761224656 70.294761224656 70.806208042298 70.806208042298 71.082464138406 71.082464138406 74.082464138406 74.082464138406 75.060511096426 75.060511096426 76.082464138406 76.082464138406 76.638640048065 76.638640048065 78.082464138406 78.082464138406 80.082464138406 80.082464138406 81.539318194135 81.539318194135 82.074202569892 82.313276174509 82.539318194135 83.082464138406 83.313276174509 83.539318194135 83.539318194135 83.539318194135 86.424169332911 86.424169332911 89.082464138406 89.082464138406 90.053153207927 90.053153207927 92.685460476685 92.685460476685 93.082464138406 93.082464138406 93.685460476685 93.685460476685 94.082464138406 94.082464138406 94.685460476685 94.685460476685 95.082464138406 95.082464138406 95.573878963818 95.573878963818 95.685460476685 95.88139668758 96.573878963818 96.573878963818 96.685460476685 97.573878963818 98.685460476685 98.685460476685 98.9331819513 98.9331819513 99.082464138406 99.685460476685 99.776264983448 99.9331819513 99.9331819513 99.9331819513 100.082464138406 100.9331819513 101.685460476685 101.685460476685 104.228365360309 104.228365360309 104.732709166897 105.228365360309 106.082464138406 106.228365360309 107.082464138406 107.082464138406 108.082464138406 108.082464138406 108.163835239456 108.163835239456 109.082464138406 109.082464138406 109.163835239456 109.163835239456 110.082464138406 110.082464138406 111.082464138406 111.082464138406 111.163835239456 111.163835239456 112.767228299842 112.767228299842 113.082464138406 113.767228299842 113.969466867089 113.969466867089 115.082464138406 115.082464138406 116.082464138406 116.082464138406 116.938573450661 116.938573450661 118.768028299842 118.768028299842 119.082464138406 119.082464138406 120.082464138406 120.082464138406 122.082464138406 122.082464138406 123.082464138406 123.082464138406 124.082464138406 124.082464138406 125.109850296226 125.109850296226 125.371907537901 125.536475439864 126.109850296226 127.109850296226 129.066969610758 129.066969610758 132.236562904609 132.236562904609 133.082464138406 133.082464138406 133.495606421873 133.495606421873 134.082464138406 134.082464138406 134.477600380777 134.477600380777 134.495606421873 135.082464138406 135.371329459083 135.477600380777 135.477600380777 135.477600380777 136.082464138406 136.477600380777 136.495606421873 136.495606421873 137.495606421873 137.495606421873 138.524825901828 138.524825901828 140.082464138406 140.082464138406 140.410731798073 140.410731798073 141.082464138406 141.410731798073 143.082464138406 143.082464138406 144.082464138406 144.082464138406 144.110140976809 144.110140976809 145.082464138406 145.082464138406 147.082464138406 147.082464138406 149.110048241593 149.110048241593 150.033766112065 150.110048241593 151.082464138406 151.082464138406 152.082464138406 152.082464138406 153.082464138406 153.082464138406 155.703345708266 155.703345708266 158.082464138406 158.082464138406 159.709867013359 159.709867013359 160.082464138406 160.082464138406 161.082464138406 161.082464138406 161.374786001742 161.374786001742 163.082464138406 163.082464138406 165.082464138406 165.082464138406 165.921899383031 165.921899383031 168.082464138406 168.082464138406 168.237704971674 168.237704971674 169.237704971674 169.237704971674 170.082464138406 170.082464138406 170.302390260063 170.302390260063 171.302390260063 171.302390260063 173.302390260063 173.302390260063 174.301763165421 174.301763165421 174.35763321831 174.580772426411 174.77860193387 175.082464138406 175.301763165421 176.301763165421 177.082464138406 177.301763165421 177.77836651259 178.301763165421 178.301763165421 178.301763165421 178.77836651259 178.77836651259 179.082464138406 179.082464138406 179.66521604574 179.66521604574 179.77836651259 180.66521604574 180.77836651259 180.77836651259 182.082464138406 182.082464138406 183.082464138406 183.082464138406 183.77836651259 183.77836651259 183.986113364176 183.986113364176 185.082464138406 185.082464138406 186.082464138406 186.082464138406 187.082464138406 187.082464138406 187.77836651259 187.77836651259 188.77836651259 188.77836651259 189.082464138406 189.082464138406 190.846961475859 190.846961475859 192.082464138406 192.082464138406 193.584837811839 193.584837811839 194.082464138406 194.392817865238 194.584837811839 194.584837811839 194.900682987925 195.082464138406 195.139435860773 195.374960434192 195.584837811839 195.626559047305 195.873418316104 196.082464138406 196.584837811839 196.584837811839 196.716397091518 197.082464138406 197.584837811839 198.061744524752 198.584837811839 199.082464138406 199.584837811839 199.585637811839","1 0 1 0 1 0 1 0 1 2 1 0 1 2 3 4 3 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 2 3 2 1 2 3 2 1 0 1 2 1 0 1 0 1 0 1 2 3 2 3 2 3 4 3 2 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 2 1 2 3 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 2 3 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 2 3 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 3 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 3 4 3 2 3 2 3 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 2 3 4 3 4 5 6 5 4 5 6 5 6 5 6 5 6"
