run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20250602-09:10:17-4372,runattr,,,configname,General,,
General-0-20250602-09:10:17-4372,runattr,,,datetime,20250602-09:10:17,,
General-0-20250602-09:10:17-4372,runattr,,,datetimef,20250602-091017,,
General-0-20250602-09:10:17-4372,runattr,,,experiment,General,,
General-0-20250602-09:10:17-4372,runattr,,,inifile,omnetpp.ini,,
General-0-20250602-09:10:17-4372,runattr,,,iterationvars,,,
General-0-20250602-09:10:17-4372,runattr,,,iterationvarsd,,,
General-0-20250602-09:10:17-4372,runattr,,,iterationvarsf,,,
General-0-20250602-09:10:17-4372,runattr,,,measurement,,,
General-0-20250602-09:10:17-4372,runattr,,,network,Network,,
General-0-20250602-09:10:17-4372,runattr,,,processid,4372,,
General-0-20250602-09:10:17-4372,runattr,,,repetition,0,,
General-0-20250602-09:10:17-4372,runattr,,,replication,#0,,
General-0-20250602-09:10:17-4372,runattr,,,resultdir,results,,
General-0-20250602-09:10:17-4372,runattr,,,runnumber,0,,
General-0-20250602-09:10:17-4372,runattr,,,seedset,0,,
General-0-20250602-09:10:17-4372,config,,,network,Network,,
General-0-20250602-09:10:17-4372,config,,,sim-time-limit,200s,,
General-0-20250602-09:10:17-4372,config,,,Network.node[0].app.interArrivalTime,exponential(7),,
General-0-20250602-09:10:17-4372,config,,,Network.node[0].app.packetByteSize,125000,,
General-0-20250602-09:10:17-4372,config,,,Network.node[0].app.destination,5,,
General-0-20250602-09:10:17-4372,config,,,Network.node[1].app.interArrivalTime,exponential(7),,
General-0-20250602-09:10:17-4372,config,,,Network.node[1].app.packetByteSize,125000,,
General-0-20250602-09:10:17-4372,config,,,Network.node[1].app.destination,5,,
General-0-20250602-09:10:17-4372,config,,,Network.node[2].app.interArrivalTime,exponential(7),,
General-0-20250602-09:10:17-4372,config,,,Network.node[2].app.packetByteSize,125000,,
General-0-20250602-09:10:17-4372,config,,,Network.node[2].app.destination,5,,
General-0-20250602-09:10:17-4372,config,,,Network.node[3].app.interArrivalTime,exponential(7),,
General-0-20250602-09:10:17-4372,config,,,Network.node[3].app.packetByteSize,125000,,
General-0-20250602-09:10:17-4372,config,,,Network.node[3].app.destination,5,,
General-0-20250602-09:10:17-4372,config,,,Network.node[4].app.interArrivalTime,exponential(7),,
General-0-20250602-09:10:17-4372,config,,,Network.node[4].app.packetByteSize,125000,,
General-0-20250602-09:10:17-4372,config,,,Network.node[4].app.destination,5,,
General-0-20250602-09:10:17-4372,config,,,Network.node[6].app.interArrivalTime,exponential(7),,
General-0-20250602-09:10:17-4372,config,,,Network.node[6].app.packetByteSize,125000,,
General-0-20250602-09:10:17-4372,config,,,Network.node[6].app.destination,5,,
General-0-20250602-09:10:17-4372,config,,,Network.node[7].app.interArrivalTime,exponential(7),,
General-0-20250602-09:10:17-4372,config,,,Network.node[7].app.packetByteSize,125000,,
General-0-20250602-09:10:17-4372,config,,,Network.node[7].app.destination,5,,
General-0-20250602-09:10:17-4372,vector,Network.node[7].app,SendedPackets,,,"2.472113973963 18.036784928217 36.22456352916 47.522578053408 53.628826418703 58.793617460994 63.057194423276 69.786860996736 77.802833679636 85.495220952493 87.148667895072 89.801401645051 92.55318954618 123.734667469412 136.473399904403 141.461485057736 150.871201962802 159.039316648642 164.891999372434 169.870734932954 175.876004420474 176.865319415399 184.157783994655 186.310408060992 191.943989859602 194.147041485584 196.529468653231 198.531615460787","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
General-0-20250602-09:10:17-4372,vector,Network.node[7].lnk[0],Buffer Size,,,"2.472113973963 2.472113973963 14.064640143037 14.064640143037 18.036784928217 18.036784928217 22.537147321493 22.537147321493 23.537147321493 23.537147321493 26.207032542754 26.207032542754 27.207032542754 27.207032542754 30.202875805204 30.202875805204 31.991943786152 31.991943786152 36.22456352916 36.22456352916 38.446404427518 38.446404427518 40.743365615666 40.743365615666 42.938368636265 42.938368636265 46.820963482617 46.820963482617 47.820963482617 47.820963482617 48.820963482617 48.820963482617 56.134168626367 56.134168626367 57.134168626367 57.134168626367 58.134168626367 58.134168626367 58.793617460994 59.134168626367 59.134168626367 60.134168626367 60.351919844358 61.134168626367 61.351919844358 62.134168626367 63.057194423276 63.05759889573 63.134168626367 64.05759889573 64.134168626367 65.134168626367 65.952381129704 66.134168626367 67.291997604298 67.291997604298 68.291997604298 68.291997604298 71.132373999384 71.132373999384 73.475382675992 73.475382675992 74.475382675992 74.475382675992 75.475382675992 75.475382675992 76.475382675992 76.475382675992 77.475382675992 77.475382675992 77.802833679636 78.475382675992 78.475382675992 79.475382675992 79.505117638723 80.475382675992 80.505117638723 81.475382675992 81.505117638723 82.475382675992 83.689351133312 83.689351133312 85.495220952493 85.495220952493 87.148667895072 87.148667895072 91.089758757616 91.089758757616 92.089758757616 92.089758757616 92.55318954618 93.089758757616 94.553287124769 94.553287124769 97.374527807816 97.374527807816 99.014638439245 99.014638439245 100.014638439245 100.014638439245 101.014638439245 101.014638439245 102.014638439245 102.014638439245 103.014638439245 103.014638439245 105.173349043596 105.173349043596 107.027070045865 107.027070045865 111.276760018976 111.276760018976 112.580845862676 112.580845862676 113.580845862676 113.580845862676 114.580845862676 114.580845862676 115.580845862676 115.580845862676 116.580845862676 116.580845862676 117.580845862676 117.580845862676 118.580845862676 118.580845862676 119.580845862676 119.580845862676 121.14217031987 121.14217031987 122.14217031987 122.14217031987 123.14217031987 123.14217031987 123.734667469412 124.14217031987 125.894432199603 125.894432199603 130.578195953439 130.578195953439 131.578195953439 131.578195953439 133.198939840474 133.198939840474 134.198939840474 134.198939840474 136.473399904403 136.473399904403 136.499956430657 137.473399904403 140.926312605428 140.926312605428 147.425662083738 147.425662083738 150.871201962802 150.871201962802 153.107163753331 153.107163753331 154.107163753331 154.107163753331 156.300557987013 156.300557987013 159.039316648642 159.039316648642 159.774032175479 160.039316648642 164.100226700454 164.100226700454 164.891999372434 165.100226700454 166.244886093101 166.244886093101 168.403789973786 168.403789973786 170.203208811883 170.203208811883 175.177179805937 175.177179805937 175.876004420474 176.177179805937 176.177179805937 176.865319415399 177.177179805937 177.862101304627 178.177179805937 178.862101304627 179.177179805937 180.177179805937 184.157783994655 184.157783994655 186.942447028767 186.942447028767 189.610898711778 189.610898711778 190.610898711778 190.610898711778 191.610898711778 191.610898711778 192.610898711778 192.610898711778 193.610898711778 193.610898711778 194.147041485584 194.610898711778 194.610898711778 195.610898711778 196.529468653231 196.610898711778","1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 2 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
General-0-20250602-09:10:17-4372,vector,Network.node[6].app,SendedPackets,,,"3.395897146052 3.804589829704 27.008975789202 28.067591764857 42.34979157045 47.494542518779 54.644565639223 58.393525680818 67.740556973185 87.885962122129 94.438393040529 116.789019534904 137.699348777868 138.100637262834 142.300265469321 142.441596366344 142.721430459752 146.801579181821 149.919515415259 154.509039405804 172.0364218874 174.313804796103 174.379610050752 182.085531421388 194.974508721797","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
