run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20250531-22:31:08-5291,runattr,,,configname,General,,
General-0-20250531-22:31:08-5291,runattr,,,datetime,20250531-22:31:08,,
General-0-20250531-22:31:08-5291,runattr,,,datetimef,20250531-223108,,
General-0-20250531-22:31:08-5291,runattr,,,experiment,General,,
General-0-20250531-22:31:08-5291,runattr,,,inifile,omnetpp.ini,,
General-0-20250531-22:31:08-5291,runattr,,,iterationvars,,,
General-0-20250531-22:31:08-5291,runattr,,,iterationvarsd,,,
General-0-20250531-22:31:08-5291,runattr,,,iterationvarsf,,,
General-0-20250531-22:31:08-5291,runattr,,,measurement,,,
General-0-20250531-22:31:08-5291,runattr,,,network,Network,,
General-0-20250531-22:31:08-5291,runattr,,,processid,5291,,
General-0-20250531-22:31:08-5291,runattr,,,repetition,0,,
General-0-20250531-22:31:08-5291,runattr,,,replication,#0,,
General-0-20250531-22:31:08-5291,runattr,,,resultdir,results,,
General-0-20250531-22:31:08-5291,runattr,,,runnumber,0,,
General-0-20250531-22:31:08-5291,runattr,,,seedset,0,,
General-0-20250531-22:31:08-5291,config,,,network,Network,,
General-0-20250531-22:31:08-5291,config,,,sim-time-limit,200s,,
General-0-20250531-22:31:08-5291,config,,,Network.node[0].app.interArrivalTime,exponential(1),,
General-0-20250531-22:31:08-5291,config,,,Network.node[0].app.packetByteSize,125000,,
General-0-20250531-22:31:08-5291,config,,,Network.node[0].app.destination,5,,
General-0-20250531-22:31:08-5291,config,,,Network.node[2].app.interArrivalTime,exponential(1),,
General-0-20250531-22:31:08-5291,config,,,Network.node[2].app.packetByteSize,125000,,
General-0-20250531-22:31:08-5291,config,,,Network.node[2].app.destination,5,,
General-0-20250531-22:31:08-5291,vector,Network.node[0].app,SendedPackets,,,"0.898560388484 1.821783519955 3.773328855839 4.324377342509 5.301383768902 5.786511932624 6.139671071762 6.198055740855 9.512968020783 11.081864138406 11.834538251719 12.673971104619 14.482340368894 14.556025724359 14.967603720602 15.058764746726 16.103377255034 19.25354718371 21.294439399622 21.9361485723 23.541388129362 25.155390204255 25.890354625445 27.026293567155 27.152167976593 28.427395678817 28.582125359317 29.352960017784 30.774324697878 31.512151989634 31.624098150267 32.159663870495 32.466944222648 32.673147504678 34.008437689302 34.617520112485 34.762798139777 34.781766708978 35.173537519655 36.134918458721 36.386360390796 36.874917440104 39.752832461382 40.3505785382 40.796097033251 41.370629439992 43.696980501686 44.795892969237 45.854727100725 46.965324546412 47.10335323484 48.492395924631 48.944497984856 49.788925778384 54.24342262456 54.477724143336 55.485743388756 56.54448610385 57.416401957476 57.708482490743 58.243547167826 58.871488748817 59.51526975042 59.795546758899 60.77241083297 61.184912062892 62.252984260042 62.401696529294 63.908331862567 64.368345820307 65.454615201185 67.174946858902 68.294761224656 68.395795999965 71.969384372309 74.074705673101 74.132032599525 75.060511096426 75.660457983067 77.004703255219 77.024893383365 77.064869682423 77.64774807129 81.539318194135 82.074202569892 84.578114352977 85.410957869043 87.41419839155 87.512848699968 90.053153207927 90.139923690267 92.789179618943 92.930510332504 93.972290986683 95.232224796792 95.573878963818 95.88139668758 96.083747126147 96.966876168106 96.987188626902 97.167440878887 98.9331819513 99.776264983448 101.105022857198 101.672927010678 101.958947983186 103.36997239248 104.228365360309 104.732709166897 106.996442742758 107.248862735649 110.301144392533 110.893768419985 112.767228299842 113.969466867089 114.092993514451 114.446013647725 115.902832206289 116.433554702906 116.938573450661 119.068072846729 121.202903296712 122.382286230357 123.270147640794 124.34798252493 125.109850296226 125.371907537901 126.404704548546 126.907015346807 127.458411336941 128.422864902435 129.066969610758 129.425896826628 130.505217025284 130.847816649982 131.810191705753 132.370152775827 134.477600380777 135.371329459083 136.225409194726 139.697944674008 139.850238299262 140.30841118322 140.410731798073 140.983193349501 145.121003110011 145.891079969557 146.485153467881 146.59076611151 149.110048241593 150.94978102667 151.111651113382 153.461828403133 155.487737220236 155.526020133121 155.703345708266 156.659312132188 158.169135587797 160.171122083323 160.70112496146 160.851915971654 161.374786001742 162.570224568024 163.037497134434 163.641796206282 164.186653334427 165.466987538239 165.921899383031 169.631859974935 170.078112795454 172.962724547556 173.151019522775 173.565632065434 174.301763165421 174.35763321831 174.580772426411 174.77860193387 176.357014655976 176.780671757333 179.66521604574 180.602354763463 181.510318790788 181.542675595433 183.0735068217 183.125189727495 183.986113364176 184.257781434518 189.136914322512 189.903993977084 191.901165944574 193.210951315936 193.584837811839 194.392817865238 194.900682987925 195.139435860773 195.374960434192 195.626559047305 195.873418316104 196.716397091518 198.061744524752 198.663423511276","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
General-0-20250531-22:31:08-5291,vector,Network.node[0].lnk[1],Buffer Size,,,"0.898560388484 0.898560388484 1.821783519955 1.898560388484 3.773328855839 3.773328855839 4.324377342509 4.773328855839 4.860204212075 5.301383768902 5.773328855839 5.773328855839 5.786511932624 5.860204212075 6.139671071762 6.198055740855 6.773328855839 7.773328855839 7.773328855839 8.773328855839 8.860204212075 9.773328855839 9.860204212075 9.860204212075 11.860204212075 11.860204212075 12.673971104619 12.673971104619 13.513568020783 13.673971104619 15.058764746726 15.058764746726 15.513568020783 15.860204212075 16.058764746726 16.058764746726 16.103377255034 16.103377255034 17.513568020783 17.513568020783 17.860204212075 17.860204212075 19.513568020783 19.513568020783 19.860204212075 19.860204212075 21.9361485723 21.9361485723 22.513568020783 22.860204212075 22.9361485723 22.9361485723 23.513568020783 23.513568020783 23.541388129362 23.541388129362 24.513568020783 24.541388129362 26.513568020783 26.513568020783 27.026293567155 27.026293567155 27.152167976593 28.026293567155 28.047909410774 28.513568020783 29.026293567155 29.026293567155 29.352960017784 29.352960017784 29.513568020783 30.352960017784 32.159663870495 32.159663870495 32.466944222648 32.513568020783 32.673147504678 33.027093567155 33.159663870495 34.159663870495 34.159663870495 34.617520112485 34.762798139777 34.781766708978 35.159663870495 35.159663870495 35.513568020783 36.134918458721 36.159663870495 36.386360390796 36.513568020783 36.874917440104 37.159663870495 38.159663870495 38.159663870495 38.160463870495 39.159663870495 40.159663870495 40.159663870495 40.3505785382 40.513568020783 40.796097033251 41.159663870495 41.159663870495 42.159663870495 42.159663870495 42.160463870495 42.513568020783 43.159663870495 43.159663870495 44.513568020783 44.513568020783 44.795892969237 44.795892969237 45.513568020783 45.795892969237 46.513568020783 46.513568020783 47.513568020783 47.513568020783 48.160463870495 48.160463870495 48.492395924631 48.492395924631 49.160463870495 49.492395924631 50.160463870495 50.160463870495 50.513568020783 50.513568020783 51.513568020783 51.513568020783 53.160463870495 53.160463870495 53.513568020783 53.513568020783 54.477724143336 54.477724143336 55.160463870495 55.477724143336 56.160463870495 56.160463870495 57.160463870495 57.160463870495 57.513568020783 57.513568020783 57.708482490743 57.708482490743 58.160463870495 58.243547167826 58.708482490743 58.708482490743 59.513568020783 59.708482490743 59.795546758899 59.795546758899 60.160463870495 60.795546758899 61.160463870495 61.160463870495 61.513568020783 61.513568020783 62.401696529294 62.401696529294 62.513568020783 63.401696529294 65.513568020783 65.513568020783 66.160463870495 66.160463870495 67.160463870495 67.160463870495 67.174946858902 67.174946858902 67.513568020783 68.160463870495 68.174946858902 68.174946858902 68.294761224656 68.294761224656 68.395795999965 69.294761224656 69.513568020783 70.160463870495 70.294761224656 70.294761224656 71.160463870495 71.160463870495 74.074705673101 74.074705673101 74.132032599525 75.074705673101 75.295561224656 75.513568020783 76.074705673101 76.074705673101 76.295561224656 76.295561224656 76.513568020783 76.513568020783 77.004703255219 77.004703255219 77.024893383365 77.064869682423 77.295561224656 78.004703255219 79.004703255219 79.513568020783 80.004703255219 80.004703255219 81.075505673101 81.075505673101 81.513568020783 81.513568020783 81.539318194135 81.539318194135 82.074202569892 82.075505673101 82.513568020783 82.539318194135 83.075505673101 83.513568020783 83.539318194135 83.539318194135 83.539318194135 83.539318194135 84.075505673101 84.075505673101 86.075505673101 86.075505673101 87.075505673101 87.075505673101 87.41419839155 87.41419839155 87.512848699968 88.41419839155 88.513568020783 89.075505673101 89.41419839155 89.41419839155 90.075505673101 90.075505673101 91.513568020783 91.513568020783 92.075505673101 92.075505673101 92.513568020783 92.513568020783 92.789179618943 92.789179618943 92.930510332504 93.075505673101 93.513568020783 93.789179618943 93.972290986683 94.075505673101 94.789179618943 94.789179618943 94.789179618943 95.573878963818 95.789179618943 95.789179618943 95.88139668758 96.513568020783 96.789179618943 96.987188626902 97.075505673101 97.167440878887 97.513568020783 97.789179618943 97.789179618943 98.075505673101 98.513568020783 98.789179618943 98.789179618943 98.9331819513 99.789179618943 99.789179618943 99.789179618943 99.789179618943 100.075505673101 100.513568020783 100.789179618943 100.789179618943 101.105022857198 101.105022857198 102.075505673101 102.105022857198 102.513568020783 102.513568020783 104.228365360309 104.228365360309 104.513568020783 104.732709166897 105.075505673101 105.228365360309 105.228365360309 105.513568020783 106.228365360309 106.228365360309 107.513568020783 107.513568020783 108.075505673101 108.075505673101 108.513568020783 108.513568020783 110.301144392533 110.301144392533 111.513568020783 111.513568020783 112.075505673101 112.075505673101 112.513568020783 112.513568020783 114.092993514451 114.092993514451 114.446013647725 114.513568020783 115.092993514451 115.513568020783 116.075505673101 116.092993514451 116.092993514451 116.092993514451 116.938573450661 116.938573450661 118.513568020783 118.513568020783 119.075505673101 119.075505673101 119.513568020783 119.513568020783 121.075505673101 121.075505673101 121.513568020783 121.513568020783 122.513568020783 122.513568020783 123.075505673101 123.075505673101 123.270147640794 123.270147640794 124.513568020783 124.513568020783 126.404704548546 126.404704548546 127.524184169565 127.524184169565 129.066969610758 129.066969610758 129.425896826628 129.513568020783 130.066969610758 130.505217025284 130.513568020783 130.847816649982 131.066969610758 131.066969610758 131.810191705753 132.066969610758 132.066969610758 132.370152775827 132.405504548546 132.513568020783 133.066969610758 133.495606421873 134.066969610758 134.495606421873 135.066969610758 135.066969610758 135.066969610758 135.066969610758 135.513568020783 135.513568020783 136.225409194726 136.225409194726 136.495606421873 137.225409194726 138.495606421873 138.495606421873 138.513568020783 138.513568020783 139.495606421873 139.495606421873 140.410731798073 140.410731798073 140.495606421873 141.410731798073 142.495606421873 142.495606421873 142.513568020783 142.513568020783 143.513568020783 143.513568020783 144.495606421873 144.495606421873 144.513568020783 144.513568020783 145.495606421873 145.495606421873 146.485153467881 146.485153467881 146.513568020783 147.485153467881 147.495606421873 147.495606421873 148.495606421873 148.495606421873 148.513568020783 148.513568020783 149.513568020783 149.513568020783 151.111651113382 151.111651113382 151.495606421873 152.111651113382 152.495606421873 152.495606421873 153.513568020783 153.513568020783 154.495606421873 154.495606421873 155.495606421873 155.495606421873 155.513568020783 155.513568020783 155.703345708266 155.703345708266 156.495606421873 156.703345708266 157.513568020783 157.513568020783 159.495606421873 159.495606421873 160.495606421873 160.495606421873 160.513568020783 160.513568020783 160.70112496146 160.70112496146 160.851915971654 161.374786001742 161.495606421873 161.513568020783 161.70112496146 162.70112496146 163.037497134434 163.495606421873 163.513568020783 163.641796206282 163.70112496146 163.70112496146 163.70112496146 164.186653334427 164.513568020783 164.70112496146 164.70112496146 164.70112496146 165.466987538239 165.70112496146 165.921899383031 166.70112496146 166.70112496146 167.70112496146 168.70192496146 168.70192496146 169.70192496146 169.70192496146 170.513568020783 170.513568020783 173.151019522775 173.151019522775 173.513568020783 173.565632065434 174.151019522775 174.151019522775 174.580772426411 174.70192496146 174.77860193387 175.151019522775 175.513568020783 175.70192496146 176.151019522775 176.151019522775 176.357014655976 176.513568020783 176.70192496146 176.780671757333 177.151019522775 177.151019522775 177.151019522775 177.513568020783 178.151019522775 178.151019522775 178.151019522775 178.513568020783 178.70192496146 179.151019522775 179.151019522775 179.151019522775 179.66521604574 179.66521604574 179.70192496146 180.66521604574 180.70192496146 180.70192496146 181.513568020783 181.513568020783 181.70192496146 181.70192496146 182.70192496146 182.70192496146 183.0735068217 183.0735068217 183.125189727495 183.513568020783 183.70192496146 183.986113364176 184.0735068217 184.257781434518 185.0735068217 185.0735068217 185.0735068217 186.0735068217 186.513568020783 187.0735068217 187.513568020783 187.513568020783 187.70192496146 187.70192496146 189.136914322512 189.136914322512 191.513568020783 191.513568020783 192.513568020783 192.513568020783 192.70192496146 192.70192496146 193.513568020783 193.513568020783 193.584837811839 193.584837811839 194.513568020783 194.584837811839 195.374960434192 195.374960434192 195.513568020783 195.626559047305 196.374960434192 196.374960434192 196.513568020783 196.70192496146 197.374960434192 197.374960434192 198.061744524752 198.061744524752 198.513568020783 198.663423511276 199.061744524752 199.061744524752 199.70192496146","1 0 1 0 1 0 1 0 1 2 1 0 1 2 3 4 3 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 2 3 4 3 2 1 2 3 4 3 2 3 4 3 4 5 6 5 4 3 4 3 2 1 2 3 4 3 2 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 2 3 2 1 2 1 0 1 0 1 0 1 0 1 2 3 2 3 4 3 2 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 2 3 2 3 4 3 2 1 2 1 0 1 2 1 2 3 4 5 4 3 4 5 4 3 4 3 2 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1 2 3 2 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 2 3 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 2 3 4 3 2 3 2 1 2 3 4 3 4 3 4 3 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 3 4 3 2 3 4 5 6 5 4 3 4 5 4 3 2 3 2 3 2 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 2 3 2 3 4 3 2 3 4 5 6 5 4 3 4 3 2 1 2 3 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 3 4 3 4 3 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 2 1 0 1 0 1 2 1 0 1"
